"id","publisher","description","published_date","title","url","entities","sentiment","summary"
1,Automotive News,"Tesla Inc. will finally launch a long-promised commercial robotaxi service in June — starting in Austin, Texas — before expanding the ride-hailing network across the U.S. and globally, CEO Elon Musk told investors Jan. 29.

“The proof is in the pudding,” Musk said on Tesla’s fourth-quarter earnings call. “So, we’re going to be launching unsupervised Full Self-Driving as a paid service in Austin in June.”

In its financial report, Tesla said fourth-quarter profit fell, but revenue rose slightly.

Musk, who acknowledged broken past promises, said Tesla vehicles are already operating autonomously at its Fremont, Calif., factory, driving themselves off the assembly line to designated parking spots in a holding lot.

Sign up for the weekly Automotive News Mobility Report newsletter for the latest developments at the intersection of transportation and technology.

Tesla’s Full Self-Driving software is classified as an advanced driver-assistance feature that requires a human supervisor for safety. Musk previously predicted in 2019 that Tesla would have 1 million robotaxis on the road by 2020. Musk has been promising autonomous Teslas for a decade.

If successful, Musk’s latest prediction could mark a massive pivot for the EV maker from generating most of its revenue from vehicle sales to becoming the world’s largest robotaxi service. Musk has said autonomous vehicles will generate vastly more revenue and profits for Tesla than selling nonautonomous vehicles to consumers.

“This is not some far-off mythical situation,” Musk told investors and analysts. “It’s literally five to six months away.”

Elon Musk’s great expectations

He said 2025 would be Tesla’s most important year, 2026 would be “epic,” and 2027 and 2028 would be “ridiculously good.” Musk also predicted Tesla could be making 100 million humanoid robots within a few years. The Optimus robots use a version of Full Self-Driving software.

After testing its first robotaxi service in Austin this summer, Tesla plans to expand the network to major U.S. markets, including in California, by the end of the year, Musk said. Europe and China, which have more difficult regulatory regimes than the U.S., could see autonomous Teslas by the end of 2026, he added.

“We’re looking for a safety level that is significantly above the average human driver,” Musk said Jan. 29. “The standard has to be very high because the moment there is any kind of accident with an autonomous vehicle, that’s immediately worldwide headlines.”

In its fourth-quarter earnings report Jan. 29, Tesla said fourth-quarter net income fell 71 percent to $2.3 billion and its gross margin was impacted by sales incentives and discounts. Most of the net income decline came from a $5.9 billion one-time noncash tax benefit in fourth-quarter 2023, making for an unfavorable comparison.",2025-01-30 19:26:44.000,"Tesla plans paid robotaxi service in Austin in June, CEO Elon Musk says",https://finance.yahoo.com/news/tesla-plans-paid-robotaxi-austin-112644208.html,{Tesla},,"Tesla Inc. will finally launch a long-promised commercial robotaxi service in June — starting in Austin, Texas — before expanding the ride-hailing network across the U.S. and globally, CEO Elon Musk told investors Jan. 29.
“So, we’re going to be launching unsupervised Full Self-Driving as a paid service in Austin in June.” In its financial report, Tesla said fourth-quarter profit fell, but revenue rose slightly.
If successful, Musk’s latest prediction could mark a massive pivot for the EV maker from generating most of its revenue from vehicle sales to becoming the world’s largest robotaxi service.
After testing its first robotaxi service in Austin this summer, Tesla plans to expand the network to major U.S. markets, including in California, by the end of the year, Musk said.
“We’re looking for a safety level that is significantly above the average human driver,” Musk said Jan. 29."
2,Bloomberg,"Sign in to access your portfolio

Sign in",2025-01-30 18:22:31.000,"Tesla Buoys Investors With Growth Pledge, Robotaxi Rollout",https://finance.yahoo.com/news/tesla-buoys-investors-growth-pledge-102231980.html,{Tesla},,Sign in to access your portfolio Sign in
3,GuruFocus.com,"On Wednesday Afternoon, Tesla (TSLA, Financial) shares bumped up and down after a mixed fourth-quarter earnings report from the company. The EV company stock's initial plunge of 5 percent after-hours trading came back to gain 4 percent as investors took in not only weaker they-expected financials but also ambitious production plans.

According to a statement by Tesla, the company missed consensus estimates when it announced revenue of $25.7 billion for Q4 2024, down from $27.3 billion. Earnings per share (EPS) came in at $0.73, down from the expected $0.77. The 2024 results came in below what company executives had forecasted for the year, expecting in a letter that full-year net income would total $8.4 billion, a drop of 23% from 2023 and 40% down from the year-earlier peak of $14.1 billion.

Tesla pointed towards the dark, as it forecasted a return to vehicle growth in 2025 but lost ground on a key profit metric. Next year, production of its autonomous 'Cybercab' taxi is due to start, as well as cheaper new models in 2025.

Enthusiasm for advances in AI, as well as the tailwinds of regulations following Donald Trump's election victory, still buoyed Tesla stock up by over 100% in the past 12 months. Analysts said that the new administration's potential to shift policy should benefit Tesla. Investors will now watch and see if Tesla can execute its vision for AI and autonomous vehicles and whether the run will continue.",2025-01-30 15:17:22.000,Tesla Stock Jumps 4% as Mixed Q4 Earnings Clash with Bold AI Plans,https://finance.yahoo.com/news/tesla-stock-jumps-4-mixed-071722095.html,{Tesla},,"On Wednesday Afternoon, Tesla (TSLA, Financial) shares bumped up and down after a mixed fourth-quarter earnings report from the company.
According to a statement by Tesla, the company missed consensus estimates when it announced revenue of $25.7 billion for Q4 2024, down from $27.3 billion.
Tesla pointed towards the dark, as it forecasted a return to vehicle growth in 2025 but lost ground on a key profit metric.
Next year, production of its autonomous 'Cybercab' taxi is due to start, as well as cheaper new models in 2025.
Investors will now watch and see if Tesla can execute its vision for AI and autonomous vehicles and whether the run will continue."
4,Business Insider,"Tesla will release its fourth-quarter earnings after the closing bell on Wednesday.

Shares in the electric-vehicle maker were down 1.4% year-to-date through Tuesday.

Investors are on high alert for key details on self-driving initiatives and robotaxis.

Tesla will report fourth-quarter earnings on Wednesday after the closing bell.

Wall Street is bullish headed into the results, with excitement growing for the EV maker's AI inroads. Investors will be listening for updates on self-driving initiatives, robotaxis, and cheaper vehicle models.

Tesla's earnings-release time is roughly 4:30 p.m. ET, and its conference call with analysts will start around 5:30 p.m.

Tesla's stock was down 1.4% year-to-date through Tuesday's close, lagging the the S&P 500's 3% gain.

Morningstar: Robotaxi rollout will take longer, stock is overvalued

Although Tesla sold off this week on the supposed threat of AI competition from DeepSeek, Morningstar doesn't consider the upstart AI tool a significant risk: Tesla's software advantage comes from billions of miles worth of FSD testing, it said.

However, Tesla stock is still considerably overvalued, Morningstar said. Investors may need to brace for deliveries to disappoint, as the production of new, low-cost car models will take longer than projected.

Similarly, the Robotaxi launch will be delayed beyond the firm's 2026 timeline, given that the needed software will require improvements.

Morningstar maintains a ""narrow moat"" rating for Tesla, and holds a fair value estimate of $210 per share.

Wedbush Securities: White House policy will clear the way for a golden age.

Tesla is bound for a golden era of growth as friendly White House policies will fast-track the firm's autonomous driving and AI initiatives, says Wedbush Securities analyst Dan Ives.

The company's tech efforts will start to show in its valuation over the next 12-18 months, helped by FSD and the Tesla Cybercab. ""We believe Tesla remains the most undervalued AI play in the market today.""

According to Ives, investors can expect solid delivery demand this year driven by China. Together with the firm's autonomous vision, Tesla could reach a $2 trillion market cap by the end of 2025.

Wedbush Securities maintained an ""outperform"" rating on Tesla. It raised the price target to $550, over 41% higher than the stock's current level.

Morgan Stanley: Tesla is an ""embodied AI ETF.""

Tesla is set for a strong fourth-quarter report, underscored by inventory-supported free cash flows and the potential for deferred revenue tied to full self-driving.",2025-01-30 11:04:10.000,"Tesla earnings live updates: Investors seek details on self-driving initiatives, robotaxis",https://finance.yahoo.com/m/d88da0fc-dab2-3c24-88d3-81f179817826/tesla-earnings-live-updates%3A.html,{Tesla},,"Investors are on high alert for key details on self-driving initiatives and robotaxis.
Tesla will report fourth-quarter earnings on Wednesday after the closing bell.
Investors will be listening for updates on self-driving initiatives, robotaxis, and cheaper vehicle models.
However, Tesla stock is still considerably overvalued, Morningstar said.
Tesla is bound for a golden era of growth as friendly White House policies will fast-track the firm's autonomous driving and AI initiatives, says Wedbush Securities analyst Dan Ives."
5,MT Newswires,"In This Article:

Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Recommended Stories",2025-01-30 19:52:40.000,"Cantor Fitzgerald Adjusts Price Target on Tesla to $425 From $365, Maintains Neutral Rating",https://finance.yahoo.com/news/cantor-fitzgerald-adjusts-price-target-115240783.html,{Tesla},,"In This Article: Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p Upgrade to read this MT Newswires article and get so much more.
A Silver or Gold subscription plan is required to access premium news articles.
Recommended Stories"
6,MT Newswires,"In This Article:

Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Recommended Stories",2025-01-30 18:49:30.000,"Baird Adjusts Price Target on Tesla to $440 From $480, Keeps Outperform Rating",https://finance.yahoo.com/news/baird-adjusts-price-target-tesla-104930331.html,{Tesla},,"In This Article: Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p Upgrade to read this MT Newswires article and get so much more.
A Silver or Gold subscription plan is required to access premium news articles.
Recommended Stories"
7,MT Newswires,"In This Article:

Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Recommended Stories",2025-01-30 18:51:25.000,"Wells Fargo Adjusts Price Target on Tesla to $135 From $125, Keeps Underweight Rating",https://finance.yahoo.com/news/wells-fargo-adjusts-price-target-105125905.html,{Tesla},,"In This Article: Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p Upgrade to read this MT Newswires article and get so much more.
A Silver or Gold subscription plan is required to access premium news articles.
Recommended Stories"
8,MT Newswires,"In This Article:

Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Recommended Stories",2025-01-30 18:50:10.000,"Truist Securities Adjusts Price Target on Tesla to $373 From $351, Keeps Hold Rating",https://finance.yahoo.com/news/truist-securities-adjusts-price-target-105010039.html,{Tesla},,"In This Article: Tesla (TSLA) has an average rating of hold and mean price target of $343.82, according to analysts p Upgrade to read this MT Newswires article and get so much more.
A Silver or Gold subscription plan is required to access premium news articles.
Recommended Stories"
9,Barrons.com,"In This Article:

Apple continues to spend less than its Magnificent 7 peers on artificial intelligence. American tech companies have spent billions of dollars on developing generative artificial intelligence projects, with plans to spend much more. Facebook parent Meta Platforms said last week that Meta is planning to invest $60 billion to $65 billion in capital expenditures this year while significantly increasing the size of the company’s AI teams.

Recommended Stories",2025-01-30 15:36:04.000,Apple’s Muted AI Spending Is Likely to Continue. DeepSeek Validates the Approach.,https://finance.yahoo.com/m/9b420a49-334a-3d61-9647-e698c100b3fe/apple%E2%80%99s-muted-ai-spending-is.html,{Apple},,"In This Article: Apple continues to spend less than its Magnificent 7 peers on artificial intelligence.
American tech companies have spent billions of dollars on developing generative artificial intelligence projects, with plans to spend much more.
Facebook parent Meta Platforms said last week that Meta is planning to invest $60 billion to $65 billion in capital expenditures this year while significantly increasing the size of the company’s AI teams.
Recommended Stories"
10,Bloomberg,"Sign in to access your portfolio

Sign in",2025-01-30 20:06:51.000,Apple’s Flagging AI Hopes Get Revival From DeepSeek’s Emergence,https://finance.yahoo.com/news/apple-flagging-ai-hopes-revival-120651400.html,{Apple},,Sign in to access your portfolio Sign in
